subject,question,option1,option2,option3,option4,answer,explanation
"Foundations of Internal Auditing","With whom must the chief audit executive (CAE) periodically review the internal audit charter?","Legal counsel and the board","The chief executive officer and the board","Senior management and the board","The chief financial officer and the board","Senior management and the board","Standard 1000 requires the CAE to periodically review and submit the internal audit charter to senior management and the board for approval."
"Foundations of Internal Auditing","In which scenario does an internal auditor breach The IIA’s Code of Ethics regarding confidentiality?","In a progress report to the audit committee, the auditor notes unrelated findings suggesting potential criminal acts by an outsider linked to a staff member.","While reviewing a supplier’s reports, the auditor buys a product for personal use with personal funds, using a public discount.","During an interview, a staff member shares personal financial troubles, including bankruptcy plans unknown to family. The auditor anonymously alerts the spouse.","In court, the auditor discloses fraud evidence implicating a vice president and relatives.","During an interview, a staff member shares personal financial troubles, including bankruptcy plans unknown to family. The auditor anonymously alerts the spouse.","The auditor should have discreetly investigated potential fraud flags but violated confidentiality by notifying the spouse. Purchasing a product with a standard discount doesn’t affect objectivity, and legal disclosures or reporting crimes are permissible."
"Foundations of Internal Auditing","The internal audit team at Jack’s Flooring Emporium struggles to uphold the Core Principle of 'provides risk-based assurance' during engagements. What is a likely outcome of this failure?","Management and the board lack independent confirmation that controls are well-designed and effective in managing risks.","The team may overlook emerging risks, reducing its value to the organization.","Management and the board may doubt the accuracy of audit findings.","The team risks losing credibility to offer independent assurance.","Management and the board lack independent confirmation that controls are well-designed and effective in managing risks.","Effective internal audit requires all Core Principles. Failing 'risk-based assurance' denies management and the board validation of controls. Missing risks relates to being 'proactive,' distrust in findings to 'objectivity,' and loss of credibility to 'integrity.'"
"Foundations of Internal Auditing","In certain nations, government bodies set audit standards, like the U.S. General Accounting Office’s rules for grant compliance audits. How should an auditor approach these engagements?","Follow general public accounting standards.","Adhere to both The IIA’s Standards and additional government standards.","Rely solely on The IIA’s Standards for their breadth.","Use only the governmental standards.","Adhere to both The IIA’s Standards and additional government standards.","Certified Internal Auditors must follow The IIA’s Standards, supplemented by relevant governmental standards for grant audits."
"Foundations of Internal Auditing","Which option best describes the Core Principles for the Professional Practices of Internal Auditing?","They are mandatory, principles-based rules assessing internal audit efficacy.","They offer detailed instructions for audit tasks, where misunderstanding implies ineffectiveness.","They outline behavioral expectations for auditors and organizations.","Together, they define internal audit effectiveness, requiring all to be active for success.","Together, they define internal audit effectiveness, requiring all to be active for success.","The Core Principles collectively articulate internal audit effectiveness, demanding all be present and functional. Their application varies, but gaps reduce effectiveness. Behavioral expectations stem from the Code of Ethics, and mandatory requirements partly define the Standards."
"Foundations of Internal Auditing","During a second-year treasury audit, a staff auditor finds that the treasurer misused securities as loan collateral years ago. Last year, the auditor and manager signed off without fully verifying this, an error noticed this year. The manager says the issue is resolved and pursuit would embarrass all. What should the auditor prioritize in deciding to report this?","Loan repayment and securities’ return","Error in prior sign-off","Improper use of securities as collateral","Control weakness correction","Improper use of securities as collateral","The past misuse of securities warrants reporting, regardless of resolution. Other details may inform the report but don’t dictate the decision to disclose."
"Foundations of Internal Auditing","An auditor auditing asbestos abatement—a fraud-prone area—wonders how the Standards apply. Which statement is accurate?","The Standards offer a broad framework for value-added auditing, applicable here, with general interpretation text as part of the standard.","The Standards limit auditing to a narrow scope, with specifics in non-standard interpretation text.","The Standards list exact steps and fraud indicators for this area.","The Standards are rules-based, ignoring loopholes if rules are followed.","The Standards offer a broad framework for value-added auditing, applicable here, with general interpretation text as part of the standard.","The Standards provide principles-based guidance, not detailed steps, with interpretation text enhancing understanding as part of the standard."
"Foundations of Internal Auditing","When does the chief audit executive (CAE) achieve organizational independence?","When administratively reporting outside the CEO level, with the audit team controlling work scope and results without interference.","When administratively reporting outside the CEO level, with the audit team setting its budget and plan without interference.","When functionally reporting outside the CEO level, with the audit team controlling work scope and results without interference.","When functionally reporting outside the CEO level, with the audit team setting its budget and plan without interference.","When administratively reporting outside the CEO level, with the audit team controlling work scope and results without interference.","Per Standard 1110, independence is confirmed annually to the board. It exists with functional reporting to the board, direct access, and administrative reporting to the CEO or another level, provided the audit team retains control over scope and reporting."
"Foundations of Internal Auditing","Assurance work typically involves which combination of services?","Operational, compliance, reporting, and fraud detection","Entity reviews, system rollouts, and ongoing auditing","Due diligence, contract reviews, and third-party audits","Operational, compliance, reporting, and IT","Operational, compliance, reporting, and IT","Assurance dominates internal audit work, often blending operational, compliance, reporting, and IT services."
"Foundations of Internal Auditing","Which is a key sign of independence under the Core Principle 'Is objective and free from undue influence'?","The board periodically assesses the CAE’s independence in employment.","The board evaluates the CAE’s performance and approves appointment and pay.","The CAE has charter-defined direct board access.","The charter specifies functional reporting to the board.","The board evaluates the CAE’s performance and approves appointment and pay.","Independence is measured by board oversight of the CAE’s role and compensation. Other options enable, rather than indicate, independence."
"Foundations of Internal Auditing","When managers in some organizations argue internal auditing isn’t needed for operational critique, what is most impacted in the audit department?","Policies and procedures","Charter","Budget variance","Staff evaluations","Charter","Such resistance limits the charter’s scope, hindering audit authority. Budgets and evaluations may vary, but the charter suffers most from this attitude."
"Foundations of Internal Auditing","Which action by an internal auditor creates a conflict of interest per The IIA’s Code of Ethics?","Deducting a whistleblower’s identity and keeping it confidential","Auditing a yogurt division after prior external audit experience, disclosed upfront","Ignoring a manager’s fraud suspect suggestion due to contrary evidence","Leading a project management audit without training to gain experience","Leading a project management audit without training to gain experience","Per Competency Rule 4.1, auditors must have adequate skills for assignments. Accepting an unprepared role conflicts with this. Other actions align with ethics."
"Foundations of Internal Auditing","To boost awareness of internal audit’s abilities across departments, the CAE launches initiatives. Which tactic fits the Standards?","Promising department heads audits every three years","Assigning an auditor to create a newsletter with client testimonials","Buying lunch for department heads to promote audit expertise","Sending post-audit memos with findings to all leaders","Assigning an auditor to create a newsletter with client testimonials","A newsletter with positive feedback showcases value (Standard 2000). Fixed audit schedules defy risk-based planning, and lunches or memos may breach ethics or privacy."
"Foundations of Internal Auditing","Assessing a process for effectiveness and efficiency in meeting organizational goals is best classified as","a Six Sigma task.","a financial review.","a consulting effort.","an operational review.","an operational review.","Operational reviews evaluate processes for efficiency and goal alignment."
"Foundations of Internal Auditing","An auditor, laid off due to downsizing, joins a rival firm in the same sector. Which disclosure to the new employer violates The IIA’s Code of Ethics?","Revealing the prior firm’s northern sales force cuts as a market opportunity","Using the prior firm’s audit risk approach at the new job","Applying personal treasury research from the old job to the new one","Training the new team on PPS sampling from the prior firm","Revealing the prior firm’s northern sales force cuts as a market opportunity","Sharing confidential prior employer data breaches confidentiality. Standard techniques and personal research don’t violate ethics."
"Foundations of Internal Auditing","During a travel expense review, an auditor questions an officer’s reimbursements. The officer offers to offset this by skipping future valid claims. If fulfilled, what should the auditor do?","Report the finding anyway.","Overlook the initial misuse.","Suggest forfeiting related frequent flyer miles.","Notify tax authorities regardless.","Report the finding anyway.","Per the Code’s integrity (1.2) and objectivity (2.3), all material facts must be reported. The Standards mandate sharing findings with those who can act."
"Foundations of Internal Auditing","What signals competence under the Core Principle 'Demonstrates competence and due professional care'?","Percentage of staff with certifications","Annual training plan tied to skill gaps","Defined audit team structure with job roles","Performance goals linked to department aims","Percentage of staff with certifications","Competence is gauged by certification rates. Other options enable, rather than measure, competence."
